chrom,pos,variant_id,effect_allele,beta,p_value
7,15054190,rs10807778,c,0.076,8.796e-07
6,31127562,rs3094187,t,0.1059,8.996e-07
6,31216300,rs77181030,t,0.0944,9.029e-07
2,227112754,rs370204372,t,0.0846,9.159e-07
2,165544450,rs10172111,a,-0.0895,9.162e-07
11,2205245,rs188404930,t,0.1039,9.291e-07
11,69459036,rs3918296,c,0.1473,9.391e-07
9,139238824,rs3935875,a,-0.102,9.392e-07
6,31138107,rs3094193,a,0.1058,9.833e-07
7,15054232,rs10238625,a,0.0756,1.004e-06
6,20721721,rs12055694,a,0.0827,1.012e-06
11,2211162,rs11026411,a,0.1038,1.013e-06
3,23491110,rs57192920,a,0.0896,1.013e-06
3,185470700,rs6800985,a,-0.08,1.015e-06
8,41509915,rs4736819,t,0.0745,1.019e-06
2,227047414,rs560660339,t,0.0938,1.035e-06
20,42886183,rs4812806,a,-0.0927,1.037e-06
7,15054370,rs10264723,t,0.0751,1.04e-06
3,123051019,rs34642857,t,0.0941,1.044e-06
6,20721179,rs185578192,t,0.0826,1.044e-06
8,118185938,rs2466293,a,-0.0743,1.045e-06
7,15054063,rs2358158,t,0.0754,1.069e-06
20,42882796,rs34348245,a,-0.0927,1.07e-06
9,139239585,rs28641468,t,-0.1018,1.074e-06
9,139241030,rs28505901,a,-0.0982,1.08e-06
2,227117698,rs149929966,c,-0.0875,1.085e-06
20,42882870,rs6017302,a,-0.0924,1.1e-06
2,227077377,rs149091229,t,0.0937,1.11e-06
7,15052860,rs4725953,t,-0.074,1.114e-06
2,227107035,rs2972136,a,-0.084,1.123e-06
11,17403639,rs1557765,t,0.076,1.134e-06
7,15050381,rs12666046,a,-0.0738,1.136e-06
6,31125705,rs720466,c,-0.1049,1.138e-06
3,23218091,rs60079501,t,0.0862,1.152e-06
20,42901255,rs62205986,a,-0.0936,1.159e-06
7,15050305,rs6962498,c,-0.0738,1.162e-06
20,42882209,rs6031477,t,-0.0922,1.166e-06
2,227106217,rs2972138,a,-0.0838,1.171e-06
6,31161229,rs9263864,a,0.1115,1.181e-06
6,31161577,rs1265177,a,-0.1115,1.187e-06
11,69451864,rs2353016,t,-0.1447,1.196e-06
11,17408630,rs533601283,t,-0.0758,1.198e-06
2,227108200,rs2943652,t,0.0837,1.204e-06
9,139241595,rs28562046,c,-0.0971,1.209e-06
2,227106361,rs573641104,a,0.0837,1.212e-06
3,185469678,rs12636352,a,-0.079,1.231e-06
7,15059326,rs12540947,t,0.0792,1.241e-06
3,185484257,rs544704091,a,0.0794,1.272e-06
2,227066574,rs2972152,a,-0.0929,1.29e-06
7,15055010,rs2215382,c,0.0746,1.292e-06
2,227066471,rs550164922,t,-0.0928,1.299e-06
2,227107501,rs78178799,t,0.0833,1.308e-06
20,42899211,rs569228974,a,0.0931,1.313e-06
11,2204726,rs7108915,t,-0.1027,1.317e-06
2,227073854,rs187553064,t,0.093,1.319e-06
10,12289137,rs12254368,c,-0.1168,1.328e-06
11,69453044,rs184002609,a,-0.1462,1.331e-06
7,15054935,rs2052129,a,-0.0745,1.331e-06
13,33598838,rs537196,t,0.0765,1.335e-06
20,42898550,rs533787754,a,0.093,1.346e-06
2,227054381,rs2943632,a,-0.0927,1.347e-06
13,33599659,rs565587,a,0.0764,1.347e-06
20,42897670,rs375761097,a,0.093,1.362e-06
9,22130065,rs10965243,a,0.1196,1.364e-06
7,15054908,rs58028761,t,0.0744,1.372e-06
14,60310343,rs76797875,a,-0.5094,1.38e-06
13,33599198,rs525014,a,0.0764,1.381e-06
3,185404193,rs532518450,c,0.095,1.383e-06
3,23490881,rs17013266,a,0.088,1.394e-06
3,23211615,rs56223303,a,0.0854,1.395e-06
7,15053827,rs17173642,a,0.0747,1.401e-06
2,227105921,rs2972137,t,0.0831,1.402e-06
20,42895906,rs556721471,a,0.0927,1.439e-06
3,23474331,rs7639266,t,0.0878,1.45e-06
2,165653834,rs115337805,a,-0.081,1.466e-06
7,15053193,rs6946098,c,-0.0745,1.472e-06
3,12379351,rs35240997,a,0.0933,1.48e-06
11,4863214,rs372005544,a,-1.1088,1.481e-06
11,2195837,rs10840495,a,0.093,1.494e-06
6,138792926,rs111711063,t,-0.441,1.502e-06
11,2197112,rs7482891,a,0.0929,1.509e-06
12,66260924,rs343087,a,0.0746,1.518e-06
7,15053485,rs10280166,t,0.0731,1.521e-06
11,2203154,rs11043003,t,-0.1016,1.522e-06
2,165657185,rs543654270,a,-0.0809,1.524e-06
2,227058625,rs62188785,t,0.0921,1.555e-06
7,15065564,rs576771830,a,0.0764,1.558e-06
16,75246035,rs117132064,c,-0.2675,1.559e-06
3,23470920,rs9883870,a,0.0874,1.569e-06
3,23471072,rs4340647,t,0.0873,1.573e-06
2,227105691,rs2943650,c,-0.0861,1.575e-06
10,12313825,rs573160281,a,0.076,1.581e-06
7,15055972,rs7798360,a,0.0758,1.582e-06
7,15065467,rs576438427,t,0.076,1.584e-06
20,42887620,rs6031479,c,-0.0924,1.585e-06
16,75242850,rs9935849,t,-0.2652,1.587e-06
11,5510482,rs369535940,t,-1.4098,1.588e-06
2,227068080,rs2943634,a,-0.0874,1.595e-06
7,15065612,rs1558318,a,-0.0765,1.6e-06
3,23467832,rs2359766,a,0.0878,1.6e-06
11,2195981,rs10743152,t,0.0926,1.613e-06
15,25709849,rs55714359,a,0.1019,1.613e-06
2,165604279,rs7601375,t,0.0745,1.621e-06
11,5466161,rs188437252,a,-1.2538,1.626e-06
10,114729482,rs12255678,t,-0.0985,1.628e-06
3,23542460,rs573202971,t,-0.0914,1.655e-06
3,12359049,rs2067819,a,-0.0927,1.664e-06
6,31239506,rs1050414,c,-0.1055,1.667e-06
2,121444529,rs12474582,t,-0.2138,1.679e-06
6,31300643,rs9265655,a,0.1004,1.68e-06
20,44109774,rs2272951,t,-0.1228,1.719e-06
11,17411821,rs79557085,t,-0.075,1.72e-06
20,44108796,rs41280266,a,0.123,1.724e-06
1,66667280,rs539379664,t,-0.4146,1.748e-06
11,2195844,rs10840496,t,0.0923,1.761e-06
11,2197286,rs4929965,a,0.0922,1.769e-06
10,12321633,rs7394200,t,-0.0972,1.787e-06
11,69458430,rs566094157,c,-0.1436,1.796e-06
3,23490466,rs73821808,a,0.0871,1.798e-06
3,23480626,rs6764347,a,0.0868,1.802e-06
11,17418477,rs12288315,a,-0.0742,1.809e-06
5,122682812,rs12655753,a,-0.1162,1.866e-06
12,121470591,rs77536694,a,-0.1411,1.871e-06
20,44109992,rs2272954,t,-0.1226,1.881e-06
6,28148752,rs142363536,a,-0.0796,1.89e-06
6,140285013,rs623233,a,0.0788,1.893e-06
3,185512356,rs569373017,t,0.1095,1.915e-06
1,20735236,rs1925670,t,0.0727,1.953e-06
3,23212597,rs77173147,t,0.0845,1.96e-06
8,41488652,rs2977852,a,-0.0736,1.969e-06
3,185482618,rs6763887,t,-0.0772,2.003e-06
17,36103872,rs11658063,c,0.0798,2.016e-06
8,41481036,rs890221,a,0.0853,2.041e-06
6,31300694,rs13195715,a,-0.0953,2.05e-06
6,28036225,rs149954,c,-0.0779,2.056e-06
6,31303275,rs1634774,a,-0.0902,2.061e-06
11,69463679,rs3212880,a,0.1427,2.067e-06
6,31203079,rs144478677,a,0.1059,2.067e-06
4,92293482,rs34046061,t,-0.0809,2.068e-06
20,42879351,rs6073384,a,0.0916,2.072e-06
9,139237902,rs28624681,t,-0.1014,2.072e-06
1,20735070,rs12039482,a,-0.0724,2.079e-06
11,2209967,rs727874,a,0.1011,2.092e-06
11,5082003,rs2959185,t,0.8874,2.096e-06
3,12367105,rs2881479,a,0.1004,2.099e-06
3,23489512,rs9880889,a,0.0863,2.119e-06
20,44099654,rs74618173,t,-0.1217,2.127e-06
4,92542253,rs74632806,a,0.1069,2.137e-06
6,31033863,rs28732090,c,-0.1073,2.144e-06
6,31300819,rs12212594,t,-0.1224,2.157e-06
3,186671978,rs550316893,t,-0.0858,2.167e-06
11,69463273,rs647451,a,-0.1417,2.183e-06
3,23493475,rs9873929,a,0.0862,2.189e-06
20,44090343,rs6130840,t,-0.1212,2.198e-06
11,72460694,rs11603349,t,0.0937,2.203e-06
2,165674738,rs390603,a,0.0728,2.206e-06
1,20734513,rs58077272,c,-0.0722,2.212e-06
1,20734811,rs12124972,t,0.0722,2.213e-06
20,42868657,rs2867799,a,0.0914,2.22e-06
4,92525916,rs74844863,t,0.1048,2.226e-06
2,121445220,rs1979165,t,0.2102,2.23e-06
11,2195538,rs436454,a,-0.0914,2.235e-06
4,92595635,rs187545856,a,-0.1073,2.243e-06
6,31114182,rs746647,a,-0.0838,2.244e-06
15,25704580,rs12907959,c,0.1006,2.252e-06
1,20734748,rs12123390,a,0.0722,2.256e-06
9,139244376,rs117299085,t,-0.0992,2.263e-06
11,72460398,rs77464186,a,0.0935,2.266e-06
2,105808348,rs533696871,t,0.4774,2.27e-06
4,92301850,rs6532303,t,0.0807,2.27e-06
1,20734368,rs76132584,a,-0.072,2.279e-06
15,25704540,rs12912802,t,0.1005,2.281e-06
6,20650408,rs2876576,a,0.0717,2.296e-06
20,42868967,rs543356680,t,-0.0912,2.311e-06
20,42868939,rs74173196,a,0.0912,2.313e-06
6,31192192,rs28361013,t,0.1082,2.317e-06
6,31191636,rs146793554,a,0.1082,2.317e-06
20,44106432,rs142253126,a,0.1214,2.336e-06
1,20733999,rs7552827,c,0.0718,2.348e-06
4,92558930,rs75883006,a,0.1066,2.351e-06
6,20643222,rs4235999,c,0.0716,2.352e-06
6,20652121,rs550405724,c,-0.0716,2.368e-06
2,165624349,rs555530692,a,-0.0722,2.368e-06
5,122704122,rs75474441,a,-0.1149,2.371e-06
11,72460762,rs11602873,a,0.0934,2.374e-06
4,92504792,rs74376022,t,0.1043,2.383e-06
4,92545026,rs141182553,a,-0.1064,2.383e-06
3,23494279,rs73821812,a,0.0858,2.403e-06
6,31118019,rs1265112,t,-0.0836,2.422e-06
10,94367230,rs10786050,a,0.0822,2.439e-06
2,227117778,rs882012,c,-0.0868,2.444e-06
3,12262934,rs74280642,a,-0.1673,2.459e-06
10,94358023,rs6583827,a,0.0821,2.475e-06
6,31113940,rs746646,t,-0.0835,2.487e-06
10,94362928,rs141359305,a,-0.0821,2.495e-06
11,69462856,rs181726755,t,-0.1417,2.514e-06
22,22387404,rs111241187,a,-0.241,2.535e-06
11,5248173,rs112988270,t,0.7875,2.55e-06
6,31118942,rs144906270,t,-0.0834,2.563e-06
3,23630930,rs181521253,a,0.1004,2.568e-06
6,31110391,rs191891762,c,0.0834,2.584e-06
20,42857276,rs17755371,t,0.0891,2.584e-06
13,53319823,rs9536271,a,0.6273,2.592e-06
20,42944024,rs137898296,t,0.1031,2.596e-06
7,15045619,rs9639218,t,-0.0722,2.602e-06
6,31122500,rs2073717,a,0.1066,2.614e-06
3,23495258,rs2359768,a,0.0855,2.626e-06
4,92558931,rs75033379,a,0.1061,2.629e-06
6,31119380,rs118024262,a,0.0833,2.637e-06
3,23204024,rs9812056,t,0.0807,2.643e-06
6,31112108,rs55861377,t,0.0833,2.652e-06
10,125748466,rs116211863,t,0.4495,2.656e-06
4,92549110,rs186337143,t,-0.1058,2.659e-06
4,92527532,rs74319517,a,0.1043,2.669e-06
3,12265462,rs6786675,c,-0.1667,2.686e-06
11,17405617,rs1002227,t,-0.0735,2.691e-06
3,23198484,rs4561853,a,-0.0806,2.692e-06
1,20733236,rs10916788,c,0.0712,2.734e-06
6,20652765,rs9295475,a,-0.0812,2.737e-06
20,43018260,rs531322092,a,0.0876,2.738e-06
2,165630460,rs355865,t,0.0718,2.741e-06
4,92601357,rs74437104,t,0.1064,2.744e-06
11,92725321,rs6483213,a,-0.0761,2.75e-06
7,15048776,rs17168594,t,-0.0711,2.765e-06
6,20644944,rs4710939,a,0.0711,2.766e-06
6,31115700,rs1265069,a,-0.0831,2.806e-06
15,66013433,rs7166453,a,-0.0806,2.819e-06
11,2212584,rs76361611,a,-0.0975,2.829e-06
15,66008646,rs36044024,a,0.0805,2.842e-06
6,31109947,rs1265087,t,0.083,2.842e-06
15,66013129,rs7167810,t,0.0806,2.844e-06
15,66008086,rs28537807,a,0.0805,2.846e-06
10,94414567,rs4933734,a,0.0817,2.865e-06
6,31116142,rs567731777,a,0.083,2.867e-06
20,42944093,rs12624561,t,-0.1027,2.872e-06
11,2214467,rs7947138,t,-0.0979,2.88e-06
7,15048814,rs6976381,t,-0.0711,2.89e-06
11,2213579,rs11564700,c,-0.0975,2.913e-06
6,31265314,rs2524123,t,-0.0736,2.925e-06
11,2212448,rs537752845,a,0.0974,2.931e-06
22,22371734,rs9610872,a,0.2205,2.956e-06
3,186669296,rs7626682,t,-0.0845,2.96e-06
11,2213258,rs7121197,t,-0.0972,2.973e-06
4,92305124,rs6844256,c,0.0798,3.001e-06
4,92296361,rs4264793,a,0.0799,3.01e-06
20,43010889,rs73111810,t,-0.0938,3.012e-06
3,23198829,rs183365639,a,-0.0804,3.017e-06
6,31109810,rs114913688,a,0.0828,3.023e-06
2,227022036,rs150105548,t,0.0877,3.023e-06
6,20647962,rs552885668,a,-0.0708,3.03e-06
4,92324620,rs12500097,t,0.0799,3.033e-06
4,92602034,rs17286506,t,0.1061,3.046e-06
17,36101156,rs7501939,t,0.0768,3.062e-06
3,23197820,rs9825627,a,0.0802,3.066e-06
11,2213492,rs10840523,c,0.0972,3.066e-06
11,2214388,rs7937915,c,-0.0975,3.082e-06
11,92713507,rs66554737,t,0.0763,3.087e-06
10,94382040,rs118149286,a,-0.0813,3.104e-06
11,2194810,rs7119275,t,0.0904,3.115e-06
3,12278113,rs34780220,a,0.1645,3.121e-06
10,94382950,rs7914814,t,0.0813,3.122e-06
1,20733376,rs10753498,t,0.0707,3.124e-06
20,44110436,rs144702205,t,0.1201,3.146e-06
11,2214016,rs77493714,a,0.0973,3.148e-06
2,165656787,rs62173959,c,-0.0713,3.171e-06
11,2214039,rs11564691,t,-0.0972,3.177e-06
10,94347830,rs78850127,a,-0.0756,3.183e-06
4,92306270,rs7672346,a,0.0795,3.185e-06
6,140273647,rs642858,a,0.0733,3.186e-06
9,4297421,rs10814918,a,-0.0752,3.194e-06
2,148946415,rs535600384,t,-0.1066,3.22e-06
6,31147194,rs3130457,t,-0.1052,3.224e-06
17,36100767,rs11657964,a,0.0768,3.227e-06
11,72463435,rs540986647,a,-0.093,3.249e-06
4,92305555,rs115427046,a,-0.0793,3.251e-06
11,17415190,rs4148646,c,0.073,3.3e-06
3,12301360,rs13089415,t,-0.1352,3.31e-06
4,92303639,rs6532304,t,0.0795,3.311e-06
9,139245289,rs28642252,a,-0.0907,3.312e-06
2,121442017,rs4848620,t,-0.2079,3.335e-06
2,148910423,rs202220108,a,0.0777,3.343e-06
13,33613132,rs9526992,a,-0.0732,3.365e-06
9,4291928,rs10974438,a,-0.0718,3.372e-06
12,84698651,rs2128335,t,0.0797,3.392e-06
4,92529255,rs6811904,t,-0.1032,3.397e-06
6,31214354,rs139416387,a,0.1064,3.404e-06
4,92579337,rs115021440,a,0.105,3.408e-06
4,92579407,rs62311909,a,-0.105,3.427e-06
15,25704428,rs6576426,a,-0.0981,3.427e-06
6,28123928,rs1150666,t,0.077,3.431e-06
1,20729451,rs7538814,c,-0.0711,3.431e-06
6,31143652,rs887465,c,-0.1049,3.441e-06
3,12271287,rs35146940,a,0.1644,3.444e-06
6,140271396,rs1102076,a,-0.073,3.453e-06
9,95700539,rs370901541,t,-1.1978,3.48e-06
10,94398118,rs6583830,a,0.0809,3.494e-06
6,31276412,rs1634758,a,0.092,3.498e-06
6,140270560,rs594560,t,0.073,3.505e-06
11,2212765,rs143646822,a,0.0965,3.511e-06
4,92324580,rs12503635,a,0.0793,3.546e-06
11,72457487,rs527271006,t,-0.092,3.561e-06
6,28013854,rs149959,t,0.0757,3.576e-06
11,2194914,rs324165,a,0.0899,3.592e-06
6,31097814,rs17548294,t,0.1029,3.601e-06
3,12301116,rs13088608,a,0.1348,3.604e-06
6,140271357,rs1102077,a,-0.0729,3.615e-06
3,12275447,rs13071168,a,-0.1635,3.623e-06
3,12275320,rs71304093,t,-0.1635,3.643e-06
11,92725240,rs6483212,a,-0.0751,3.655e-06
16,75249170,rs577622599,a,-0.2568,3.667e-06
3,12301063,rs13088598,t,-0.1347,3.688e-06
2,227026736,rs10439362,t,0.0885,3.689e-06
1,57612893,rs144941674,t,1.5021,3.695e-06
20,42951676,rs12624367,c,-0.1016,3.708e-06
6,28147385,rs9468305,a,-0.0768,3.718e-06
4,153519112,rs6837269,a,-0.0721,3.72e-06
2,165639847,rs355901,t,0.0706,3.735e-06
6,31278722,rs12197373,a,-0.0922,3.74e-06
6,140271153,rs674672,a,0.0728,3.748e-06
3,12278528,rs11719082,a,0.1631,3.756e-06
6,31299882,rs13191852,a,-0.0964,3.758e-06
4,92518387,rs17018623,a,0.1019,3.766e-06
6,28046673,rs203876,t,0.0784,3.814e-06
8,12648718,rs62488468,t,0.084,3.815e-06
11,17387982,rs11024268,a,0.0721,3.817e-06
1,20727495,rs34327323,t,-0.0717,3.842e-06
4,92296559,rs75620311,a,-0.079,3.852e-06
6,31301987,rs4947306,a,-0.0958,3.859e-06
3,12371377,rs116219174,a,-0.2163,3.862e-06
3,12277657,rs113205156,t,0.1636,3.896e-06
3,12277656,rs112560967,a,-0.1636,3.899e-06
20,42900648,rs527771084,t,0.0715,3.911e-06
20,42863505,rs6073382,t,0.089,3.93e-06
6,28113746,rs1225716,a,0.0765,3.962e-06
6,31154493,rs3095240,a,0.1043,3.967e-06
6,31320030,rs34105339,t,-0.1084,3.968e-06
6,31154633,rs3130459,t,-0.1042,3.968e-06
6,20640904,rs4710938,a,0.07,3.97e-06
10,94395748,rs7900689,a,0.0804,3.99e-06
6,140280368,rs646747,t,-0.0725,4.028e-06
11,92718163,rs1447351,a,-0.0748,4.029e-06
6,31276109,rs1618199,a,0.092,4.05e-06
10,130258723,rs189990804,c,0.1973,4.06e-06
3,23373646,rs6769167,t,0.0862,4.062e-06
2,165524751,rs36105243,c,0.0842,4.074e-06
4,92309228,rs1528579,a,0.0786,4.08e-06
17,36096300,rs2005705,a,0.0758,4.093e-06
6,140280398,rs646695,t,-0.0725,4.098e-06
12,66246181,rs2583930,a,-0.0711,4.103e-06
6,31101904,rs4711257,t,0.1025,4.132e-06
7,28180556,rs864745,t,0.0776,4.132e-06
10,94386122,rs114330741,t,0.0802,4.155e-06
12,66250940,rs343092,t,0.0711,4.168e-06
10,94395393,rs10736069,t,0.0802,4.189e-06
6,140256669,rs603321,a,-0.073,4.205e-06
3,12276493,rs11709119,t,-0.1624,4.209e-06
3,12277190,rs36086545,a,-0.1624,4.21e-06
6,20640316,rs546018031,t,-0.0708,4.216e-06
11,92721167,rs7930592,t,-0.0745,4.23e-06
4,92506255,rs114161111,a,0.1022,4.251e-06
11,69448912,rs543875431,a,-0.1361,4.29e-06
20,44092753,rs7272571,a,-0.1161,4.313e-06
3,185457715,rs192576799,c,0.0844,4.323e-06
1,20732082,rs10916786,a,0.0701,4.33e-06
11,92706944,rs10765576,a,-0.0757,4.345e-06
1,92520057,rs111575732,a,-0.2696,4.366e-06
7,28196222,rs849134,a,0.0773,4.403e-06
1,20730847,rs11577874,a,0.0702,4.415e-06
3,12301571,rs34430055,t,0.1336,4.435e-06
20,42861627,rs529306946,a,0.0887,4.464e-06
6,31271511,rs13200571,a,-0.0901,4.465e-06
6,28035246,rs149953,a,-0.0754,4.468e-06
6,31299838,rs116776812,a,0.0956,4.469e-06
6,20639604,rs9465850,a,-0.0707,4.478e-06
22,22373446,rs435337,t,0.2159,4.523e-06
8,12649168,rs62488469,t,0.0835,4.535e-06
15,91522092,rs534033945,a,0.095,4.539e-06
4,92324909,rs7668775,a,0.0787,4.545e-06
3,185445842,rs2290066,t,-0.0709,4.546e-06
11,69453985,rs36225067,a,0.1474,4.551e-06
10,114824976,rs7919409,t,-0.1173,4.573e-06
11,92717475,rs1562444,a,0.0744,4.575e-06
9,139246565,rs77813615,a,0.0985,4.602e-06
8,12653909,rs62488471,c,0.0922,4.604e-06
11,92707560,rs11020127,a,-0.0755,4.645e-06
4,92304224,rs6837355,a,0.0783,4.657e-06
6,140284946,rs623331,t,0.0721,4.66e-06
11,92716616,rs200681545,c,-0.0744,4.675e-06
6,20724234,rs6903175,a,-0.0782,4.689e-06
3,12299983,rs34685612,a,-0.1334,4.696e-06
1,20731117,rs10916785,t,0.07,4.7e-06
22,22373470,rs182344274,a,-0.2069,4.703e-06
6,28028067,rs9368547,a,0.0747,4.708e-06
3,12279209,rs35551471,a,-0.1614,4.713e-06
3,185500357,rs79239029,a,-0.1052,4.734e-06
6,28033087,rs149951,t,0.0747,4.743e-06
22,22386471,rs11913838,c,-0.2329,4.786e-06
6,28031838,rs9348790,a,-0.0746,4.811e-06
11,132081873,rs138326841,a,0.0781,4.819e-06
2,27598097,rs4665972,t,-0.0833,4.82e-06
20,42860903,rs561042640,c,0.0882,4.839e-06
7,15049604,rs12699673,t,0.0708,4.851e-06
2,165511794,rs10179126,c,0.0829,4.908e-06
10,94387676,rs571253543,a,-0.0796,4.931e-06
4,128693088,rs187468406,t,0.9987,4.952e-06
1,92655377,rs112423046,t,0.2672,4.955e-06
6,28033039,rs149950,t,0.0745,4.97e-06
15,66017994,rs79588530,a,0.0832,5.007e-06
2,165638070,rs76221616,t,0.0697,5.022e-06
6,31274555,rs9264939,t,0.0896,5.022e-06
20,42862376,rs66620958,t,-0.0881,5.057e-06
6,31103589,rs112565290,t,0.1006,5.067e-06
20,42862090,rs34155184,a,-0.088,5.073e-06
9,139246588,rs376993806,a,-0.0954,5.093e-06
9,82457493,rs11521749,a,0.0768,5.101e-06
3,48701767,rs140000498,a,-0.9815,5.109e-06
6,28013410,rs532602692,a,-0.0745,5.114e-06
11,105951005,rs147136793,t,0.426,5.131e-06
20,42854134,rs6017291,a,-0.0877,5.132e-06
1,92981239,rs17371561,a,-0.2551,5.138e-06
20,42862372,rs35060279,t,-0.088,5.145e-06
11,72474004,rs117946993,t,-0.091,5.149e-06
6,28092603,rs536704,t,0.0755,5.169e-06
16,75249552,rs117477678,t,-0.2874,5.183e-06
3,12302262,rs35541642,t,-0.1326,5.189e-06
6,28067196,rs203892,t,0.0754,5.194e-06
3,12300058,rs71304098,a,-0.1327,5.203e-06
20,42861156,rs13036849,a,-0.0879,5.211e-06
3,12299660,rs35877199,a,-0.1335,5.215e-06
5,133827455,rs765504,c,-0.0747,5.247e-06
1,162513969,rs145682482,a,0.487,5.284e-06
2,148952186,rs115182258,a,-0.0743,5.293e-06
6,31265752,rs13191519,t,-0.0874,5.3e-06
3,23193690,rs4402953,a,0.0784,5.303e-06
9,81894451,rs10511488,a,-0.1231,5.316e-06
3,12299945,rs13067702,c,-0.1326,5.345e-06
20,42860618,rs527497955,c,0.0878,5.375e-06
20,42864004,rs74173195,t,-0.0878,5.393e-06
20,42860588,rs77758928,a,0.0878,5.399e-06
3,12289800,rs13081389,a,0.133,5.4e-06
6,27998184,rs531753368,a,-0.0744,5.403e-06
6,98088518,rs9476947,a,-1.0465,5.406e-06
6,31245534,rs10456057,a,-0.0892,5.41e-06
4,92512875,rs73836288,a,-0.1013,5.439e-06
6,28065888,rs476167,t,0.0753,5.442e-06
3,12266505,rs35355828,a,-0.1603,5.479e-06
6,31269946,rs114151681,a,0.1123,5.484e-06
2,227123086,rs74004932,t,0.0794,5.488e-06
7,40312266,rs73318545,a,0.0858,5.498e-06
6,80880138,rs6931421,t,0.0765,5.506e-06
6,28002818,rs139971981,t,-0.0743,5.523e-06
6,20642075,rs12196009,a,0.075,5.542e-06
8,94782731,rs78876374,a,0.073,5.564e-06
19,40358213,rs199505645,a,0.7353,5.565e-06
2,227121918,rs2943656,a,-0.0795,5.573e-06
3,12267084,rs11720578,t,-0.1602,5.589e-06
4,92545296,rs377317971,a,0.1086,5.604e-06
2,65612347,rs571835326,a,0.7897,5.624e-06
13,33622451,rs2858818,t,-0.0722,5.629e-06
13,33622457,rs192466481,c,-0.0722,5.634e-06
10,12311465,rs556912302,a,0.0704,5.639e-06
6,28013617,rs149958,a,0.0742,5.646e-06
6,31267117,rs117207641,a,-0.0892,5.651e-06
13,33621308,rs639981,t,-0.0721,5.667e-06
8,127759740,rs6998646,t,-0.0957,5.673e-06
13,33624553,rs535724948,t,-0.0722,5.675e-06
3,12299722,rs35057507,a,-0.1322,5.676e-06
3,12299615,rs71304097,a,-0.1322,5.704e-06
13,33621524,rs1198955,c,0.0721,5.726e-06
4,92494879,rs6855442,c,0.0999,5.735e-06
6,28062066,rs3823180,a,-0.0751,5.741e-06
6,28048624,rs203877,t,0.0751,5.763e-06
13,33621582,rs142289533,t,-0.0721,5.765e-06
3,12299365,rs71304096,a,0.1321,5.792e-06
2,165612741,rs151211830,t,-0.0695,5.803e-06
13,33622362,rs2772368,a,0.072,5.818e-06
13,33622291,rs2772367,a,0.072,5.824e-06
13,33623164,rs141113969,a,-0.072,5.826e-06
13,33622964,rs2249358,a,-0.072,5.827e-06
13,33622677,rs656525,a,0.072,5.831e-06
4,92338803,rs2091765,a,0.0784,5.832e-06
3,12283571,rs35220653,c,0.1592,5.846e-06
2,165619163,rs115662939,t,0.0694,5.849e-06
13,33622882,rs2283370,t,-0.072,5.854e-06
20,42914450,rs2208065,t,0.0692,5.859e-06
8,94823565,rs62525193,a,-0.073,5.873e-06
3,23346795,rs182719971,t,-0.0836,5.873e-06
8,7954026,rs529284746,a,-1.0821,5.874e-06
22,22374738,rs462101,a,-0.2346,5.926e-06
3,12301472,rs6771792,t,-0.1313,5.944e-06
16,75249791,rs111869668,c,0.2524,5.965e-06
13,33623910,rs672105,a,0.0719,5.966e-06
4,92293842,rs1358554,t,-0.0776,5.974e-06
13,33624345,rs684492,a,0.0719,5.977e-06
15,65916527,rs3743171,a,0.0729,5.987e-06
13,33623934,rs527353,c,0.0719,5.99e-06
6,20638009,rs7751957,c,-0.0816,5.994e-06
9,81885076,rs36108337,a,0.1088,6.005e-06
4,92330355,rs7672281,a,0.0778,6.009e-06
7,121385684,rs182767159,t,-1.5857,6.063e-06
12,66239717,rs2446768,c,-0.0699,6.064e-06
13,33624480,rs553791,t,0.0719,6.072e-06
6,31298418,rs28752856,c,-0.0927,6.086e-06
6,126792095,rs11759026,a,-0.0764,6.15e-06
11,2839751,rs189136600,t,-0.2618,6.154e-06
4,92337905,rs2204870,a,0.0781,6.215e-06
13,33622817,rs497050,a,-0.0718,6.246e-06
8,41529172,rs59864562,a,0.1035,6.257e-06
4,157731617,rs114097391,t,0.1408,6.258e-06
4,153518973,rs4696137,a,0.0705,6.258e-06
6,28086413,rs189731892,t,-0.0748,6.275e-06
4,153513864,rs6827821,t,0.0705,6.286e-06
6,28078502,rs140683359,a,-0.0748,6.309e-06
3,12298567,rs35316189,a,-0.1316,6.323e-06
8,12656490,rs62488472,c,-0.0847,6.346e-06
11,5154415,rs7127514,t,0.8728,6.377e-06
6,31303196,rs28367784,a,0.0952,6.395e-06
5,176033663,rs10044781,a,-0.0696,6.418e-06
6,28006650,rs149897,a,0.0739,6.44e-06
1,20735361,rs193233275,a,0.0698,6.442e-06
12,66252294,rs189339,a,0.0698,6.447e-06
1,93025762,rs75911573,a,-0.2548,6.474e-06
11,69451911,rs184379418,c,0.1446,6.485e-06
11,69451910,rs370866820,a,-0.1446,6.493e-06
20,42914451,rs2224265,a,-0.0689,6.498e-06
8,94746698,rs150172581,t,0.0718,6.508e-06
15,91509215,rs554995444,a,0.0866,6.512e-06
6,28078356,rs203883,a,0.0746,6.522e-06
11,17412960,rs7124355,a,0.0713,6.526e-06
6,31255008,rs13214872,c,-0.0888,6.543e-06
4,92453371,rs80230044,t,0.098,6.576e-06
12,26622137,rs192403768,t,-0.1549,6.58e-06
